ID	label	subClassOf [ID]	subClassOf [LABEL]	SYNONYMS	inSubset	definition
ENVO:00000000	geographic feature	ENVO:01000813	astronomical body part	macroscopic spatial feature	envoPolar	An astrononmical body part which delimited by physical discontinuities with its surroundings.
ENVO:00000001	bedding-plane cave	ENVO:00000067	cave			A cavity developed along a bedding-plane and elongate in cross-section as a result.
ENVO:00000002	anthropogenic geographic feature	ENVO:00000000	geographic feature	man-made feature|manmade feature		An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature.
ENVO:00000010	transport feature	ENVO:00000070	human construction			A construction which enables the movement of humans, their animals or their vehicles.
ENVO:00000011	garden	ENVO:00000002	anthropogenic geographic feature	PARK|cropland|park		An enclosure for displaying selected plant or animal life.
ENVO:00000012	hydrographic feature	ENVO:00000000	geographic feature	fluvial feature	envoPolar	A geographical feature associated with water.
ENVO:00000013	cave system	ENVO:01001884	surface landform			A collection of caves interconnected by enterable passages or linked hydrologically or a cave with an extensive complex of chambers and passages.
ENVO:00000014	canal	ENVO:00000029	watercourse			Artificial watercourse with no flow or a controlled flow used for navigation, drainage or irrigation.
ENVO:00000015	ocean	ENVO:00001999|ENVO:01001319	marine water body|saline water body	ocean region	envoMarine|envoPolar	A marine water body which is constitutes the majority of an astronomical body's hydrosphere.
ENVO:00000016	sea	ENVO:00001999|ENVO:01001319	marine water body|saline water body	channel|closed sea|marginal sea|open sea|open sound|open water	envoMarine|envoPolar	A large expanse of saline water usually connected with an ocean.
ENVO:00000017	saline hydrographic feature	ENVO:00000012	hydrographic feature			A geographical feature associated with water with a halinity above 30 ppt (roughly 35 g/L).
ENVO:00000019	saline lake	ENVO:00000020|ENVO:01001319	lake|saline water body	salina|salt lake|soda lake		A lake whose water contains a considerable concentration of dissolved salts.
ENVO:00000020	lake	ENVO:01000617	lentic water body	broad|catch basin|llyn|loch|lochan|lough|mere|mortlake|open water|pasteuer lake|tarn	envoPolar	A body of water or other liquid of considerable size contained in a depression on a landmass.
ENVO:00000021	freshwater lake	ENVO:00000020|ENVO:01001320	fresh water body|lake	FreshwaterLake	envoPolar	A lake of whose water contains low concentrations of salts.
ENVO:00000022	river	ENVO:00000023	stream	braided river|rio|rio		A stream which, through permanent or seasonal flow processes, moves from elevated land towards lower elevations through a definite channel and empties either into a sea, lake, or another river or ends on land as bed seepage and evapotranspiration exceed water supply.
ENVO:00000023	stream	ENVO:00000029	watercourse	Creek|beck|braided stream|brook|brook|burn (hydrographic)|creek|creek|creek|fork (hydrographic|lode|millstream|rivulet|stream bend|streamlet|streams|watercourse|watercourse		A watercourse which is linear and flows across the solid portion of a planetary surface.
ENVO:00000025	reservoir	ENVO:00000377	artificial lake	covered reservoir|lake		An artificial body of water, often contained by a dam, constructed for the purpose of water storage.
ENVO:00000026	well	ENVO:00000002	anthropogenic geographic feature			A cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface.
