envo_id,label
http://purl.obolibrary.org/obo/ENVO_01001838,arid biome
http://purl.obolibrary.org/obo/ENVO_01001830,tropical biome
http://purl.obolibrary.org/obo/ENVO_00002030,aquatic biome
http://purl.obolibrary.org/obo/ENVO_00000873,freshwater biome
http://purl.obolibrary.org/obo/ENVO_01000253,freshwater river biome
http://purl.obolibrary.org/obo/ENVO_00000890,small river biome
http://purl.obolibrary.org/obo/ENVO_00000889,large river delta biome
http://purl.obolibrary.org/obo/ENVO_00000888,large river headwater biome
http://purl.obolibrary.org/obo/ENVO_00000887,large river biome
http://purl.obolibrary.org/obo/ENVO_01000252,freshwater lake biome
http://purl.obolibrary.org/obo/ENVO_00000892,small freshwater lake biome
http://purl.obolibrary.org/obo/ENVO_00000891,large freshwater lake biome
http://purl.obolibrary.org/obo/ENVO_00000893,xeric basin biome
http://purl.obolibrary.org/obo/ENVO_00000447,marine biome
http://purl.obolibrary.org/obo/ENVO_01000022,marine salt marsh biome
http://purl.obolibrary.org/obo/ENVO_01000024,marine benthic biome
http://purl.obolibrary.org/obo/ENVO_01000027,marine abyssal zone biome
http://purl.obolibrary.org/obo/ENVO_01000026,marine bathyal zone biome
http://purl.obolibrary.org/obo/ENVO_01000028,marine hadal zone biome
http://purl.obolibrary.org/obo/ENVO_01000029,marine reef biome
http://purl.obolibrary.org/obo/ENVO_01000123,marine sponge reef biome
http://purl.obolibrary.org/obo/ENVO_01000050,marine subtidal rocky reef biome
http://purl.obolibrary.org/obo/ENVO_01000049,marine coral reef biome
http://purl.obolibrary.org/obo/ENVO_01000854,tropical marine coral reef biome
http://purl.obolibrary.org/obo/ENVO_01000030,marine hydrothermal vent biome
http://purl.obolibrary.org/obo/ENVO_01000054,marine basaltic hydrothermal vent biome
http://purl.obolibrary.org/obo/ENVO_01000053,marine ultramafic hydrothermal vent biome
http://purl.obolibrary.org/obo/ENVO_01000052,marine white smoker biome
http://purl.obolibrary.org/obo/ENVO_01000051,marine black smoker biome
http://purl.obolibrary.org/obo/ENVO_01000025,marine neritic benthic zone biome
http://purl.obolibrary.org/obo/ENVO_01000127,marine cold seep biome
http://purl.obolibrary.org/obo/ENVO_01000020,estuarine biome
http://purl.obolibrary.org/obo/ENVO_01000858,marine upwelling biome
http://purl.obolibrary.org/obo/ENVO_01000860,temperate marine upwelling biome
http://purl.obolibrary.org/obo/ENVO_01000859,tropical marine upwelling biome
http://purl.obolibrary.org/obo/ENVO_01000023,marine pelagic biome
http://purl.obolibrary.org/obo/ENVO_01000033,oceanic pelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000040,oceanic benthopelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000039,oceanic hadal pelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000038,oceanic abyssopelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000037,oceanic bathypelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000036,oceanic mesopelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000035,oceanic epipelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000034,oceanic sea surface microlayer biome
http://purl.obolibrary.org/obo/ENVO_01000032,neritic pelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000043,neritic mesopelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000042,neritic epipelagic zone biome
http://purl.obolibrary.org/obo/ENVO_01000041,neritic sea surface microlayer biome
http://purl.obolibrary.org/obo/ENVO_01000047,mediterranean sea biome
http://purl.obolibrary.org/obo/ENVO_01000857,temperate mediterranean sea biome
http://purl.obolibrary.org/obo/ENVO_01000128,dilution basin mediterranean sea biome
http://purl.obolibrary.org/obo/ENVO_01000004,concentration basin mediterranean sea biome
http://purl.obolibrary.org/obo/ENVO_01000046,marginal sea biome
http://purl.obolibrary.org/obo/ENVO_01001230,tropical marginal sea biome
http://purl.obolibrary.org/obo/ENVO_01000856,temperate marginal sea biome
http://purl.obolibrary.org/obo/ENVO_01000045,epeiric sea biome
http://purl.obolibrary.org/obo/ENVO_01001832,subtropical biome
http://purl.obolibrary.org/obo/ENVO_01001837,subalpine biome
http://purl.obolibrary.org/obo/ENVO_01001834,subpolar biome
http://purl.obolibrary.org/obo/ENVO_01001831,temperate biome
http://purl.obolibrary.org/obo/ENVO_01001836,montane biome
http://purl.obolibrary.org/obo/ENVO_01000339,polar biome
http://purl.obolibrary.org/obo/ENVO_00000446,terrestrial biome
http://purl.obolibrary.org/obo/ENVO_01000176,shrubland biome
http://purl.obolibrary.org/obo/ENVO_01001369,tidal mangrove shrubland
http://purl.obolibrary.org/obo/ENVO_01000218,xeric shrubland biome
http://purl.obolibrary.org/obo/ENVO_01000216,montane shrubland biome
http://purl.obolibrary.org/obo/ENVO_01000215,temperate shrubland biome
http://purl.obolibrary.org/obo/ENVO_01000214,tropical shrubland biome
http://purl.obolibrary.org/obo/ENVO_01000213,subtropical shrubland biome
http://purl.obolibrary.org/obo/ENVO_01000217,mediterranean shrubland biome
http://purl.obolibrary.org/obo/ENVO_01000180,tundra biome
http://purl.obolibrary.org/obo/ENVO_01001505,alpine tundra biome
http://purl.obolibrary.org/obo/ENVO_01000175,woodland biome
http://purl.obolibrary.org/obo/ENVO_01000222,subtropical woodland biome
http://purl.obolibrary.org/obo/ENVO_01000208,mediterranean woodland biome
http://purl.obolibrary.org/obo/ENVO_01000221,temperate woodland biome
http://purl.obolibrary.org/obo/ENVO_01000220,tropical woodland biome
http://purl.obolibrary.org/obo/ENVO_01000178,savanna biome
http://purl.obolibrary.org/obo/ENVO_01000223,montane savanna biome
http://purl.obolibrary.org/obo/ENVO_01000190,flooded savanna biome
http://purl.obolibrary.org/obo/ENVO_01000189,temperate savanna biome
http://purl.obolibrary.org/obo/ENVO_01000188,tropical savanna biome
http://purl.obolibrary.org/obo/ENVO_01000187,subtropical savanna biome
http://purl.obolibrary.org/obo/ENVO_01000229,mediterranean savanna biome
http://purl.obolibrary.org/obo/ENVO_01000181,mangrove biome
http://purl.obolibrary.org/obo/ENVO_01000219,anthropogenic terrestrial biome
http://purl.obolibrary.org/obo/ENVO_01000248,dense settlement biome
http://purl.obolibrary.org/obo/ENVO_01000249,urban biome
http://purl.obolibrary.org/obo/ENVO_01000247,rangeland biome
http://purl.obolibrary.org/obo/ENVO_01000246,village biome
http://purl.obolibrary.org/obo/ENVO_01001833,mediterranean biome
http://purl.obolibrary.org/obo/ENVO_01001835,alpine biome
